age,gender,product_brand,product_retail_price,product_department,status,created_at,shipped_at,delivered_at,sale_price
39,F,Funny Girl Designs,5.9899997711181641,Women,Returned,2023-05-04 04:04:00.000000 UTC,2023-05-05 15:32:00.000000 UTC,2023-05-06 19:54:00.000000 UTC,5.9899997711181641
18,F,Funny Girl Designs,10.989999771118164,Women,Complete,2023-05-23 18:12:01.000000 UTC,2023-05-24 13:44:00.000000 UTC,2023-05-25 13:15:00.000000 UTC,10.989999771118164
34,M,Perry,16.899999618530273,Men,Complete,2023-05-04 01:54:10.000000 UTC,2023-05-06 06:02:00.000000 UTC,2023-05-09 04:12:00.000000 UTC,16.899999618530273
28,M,Belts.com,9.9899997711181641,Men,Returned,2023-06-26 03:30:30.000000 UTC,2023-06-26 09:05:00.000000 UTC,2023-06-29 17:41:00.000000 UTC,9.9899997711181641
66,M,Marshal,12.0,Men,Complete,2023-02-01 11:33:29.000000 UTC,2023-01-29 18:40:00.000000 UTC,2023-01-30 00:03:00.000000 UTC,12.0
69,M,TheTieBar,18.989999771118164,Men,Returned,2023-01-20 04:38:45.000000 UTC,2023-01-18 09:26:00.000000 UTC,2023-01-19 11:39:00.000000 UTC,18.989999771118164
69,M,TheTieBar,18.989999771118164,Men,Complete,2023-03-26 00:19:34.000000 UTC,2023-03-28 17:20:00.000000 UTC,2023-03-29 05:42:00.000000 UTC,18.989999771118164
20,M,TheTieBar,17.989999771118164,Men,Complete,2023-04-23 16:09:39.000000 UTC,2023-04-24 22:23:00.000000 UTC,2023-04-27 18:45:00.000000 UTC,17.989999771118164
39,M,TheTieBar,17.989999771118164,Men,Returned,2023-06-19 13:17:13.000000 UTC,2023-06-16 13:37:00.000000 UTC,2023-06-20 04:32:00.000000 UTC,17.989999771118164
16,M,TheTieBar,15.989999771118164,Men,Returned,2023-03-18 04:45:45.000000 UTC,2023-03-14 22:40:00.000000 UTC,2023-03-15 09:58:00.000000 UTC,15.989999771118164
35,M,TheTieBar,15.989999771118164,Men,Complete,2023-01-30 15:39:44.000000 UTC,2023-02-02 03:42:00.000000 UTC,2023-02-06 09:01:00.000000 UTC,15.989999771118164
42,M,TheTieBar,15.989999771118164,Men,Returned,2023-05-18 10:57:28.000000 UTC,2023-05-19 13:31:00.000000 UTC,2023-05-23 15:58:00.000000 UTC,15.989999771118164
17,M,TheTieBar,15.989999771118164,Men,Complete,2023-03-09 02:50:33.000000 UTC,2023-03-11 01:25:00.000000 UTC,2023-03-15 04:31:00.000000 UTC,15.989999771118164
66,M,TheTieBar,15.989999771118164,Men,Complete,2023-06-23 06:28:13.000000 UTC,2023-06-20 04:45:00.000000 UTC,2023-06-20 14:01:00.000000 UTC,15.989999771118164
51,M,TheTieBar,15.989999771118164,Men,Complete,2023-04-28 05:13:58.000000 UTC,2023-04-28 19:33:00.000000 UTC,2023-05-03 13:53:00.000000 UTC,15.989999771118164
62,M,TheTieBar,17.989999771118164,Men,Returned,2023-04-15 13:39:52.000000 UTC,2023-04-15 22:43:00.000000 UTC,2023-04-17 20:52:00.000000 UTC,17.989999771118164
57,M,TheTieBar,17.989999771118164,Men,Complete,2023-05-25 22:09:38.000000 UTC,2023-05-28 02:57:00.000000 UTC,2023-05-28 09:54:00.000000 UTC,17.989999771118164
12,M,TheTieBar,15.989999771118164,Men,Returned,2023-06-10 22:49:20.000000 UTC,2023-06-11 20:21:00.000000 UTC,2023-06-12 16:46:00.000000 UTC,15.989999771118164
58,M,TheTieBar,15.989999771118164,Men,Complete,2023-03-04 22:04:59.000000 UTC,2023-03-03 21:23:00.000000 UTC,2023-03-07 01:10:00.000000 UTC,15.989999771118164
17,M,TheTieBar,18.989999771118164,Men,Complete,2023-01-04 02:30:14.000000 UTC,2023-01-05 03:16:00.000000 UTC,2023-01-07 02:36:00.000000 UTC,18.989999771118164
22,M,TheTieBar,15.989999771118164,Men,Complete,2023-05-25 07:35:51.000000 UTC,2023-05-24 01:32:00.000000 UTC,2023-05-27 15:25:00.000000 UTC,15.989999771118164
46,M,TheTieBar,15.989999771118164,Men,Complete,2023-04-03 14:45:32.000000 UTC,2023-04-05 09:25:00.000000 UTC,2023-04-08 20:40:00.000000 UTC,15.989999771118164
12,M,TheTieBar,17.989999771118164,Men,Complete,2023-04-08 05:00:24.000000 UTC,2023-04-10 22:35:00.000000 UTC,2023-04-12 19:00:00.000000 UTC,17.989999771118164
41,M,TheTieBar,17.989999771118164,Men,Complete,2023-03-12 15:40:46.000000 UTC,2023-03-12 00:33:00.000000 UTC,2023-03-16 04:42:00.000000 UTC,17.989999771118164
12,M,TheTieBar,15.989999771118164,Men,Complete,2023-01-09 01:15:38.000000 UTC,2023-01-10 20:48:00.000000 UTC,2023-01-14 03:20:00.000000 UTC,15.989999771118164
14,F,boxed-gifts,14.989999771118164,Women,Complete,2023-06-27 00:03:06.000000 UTC,2023-06-27 09:27:00.000000 UTC,2023-06-28 05:40:00.000000 UTC,14.989999771118164
64,M,180s,24.989999771118164,Men,Complete,2023-06-25 00:46:43.000000 UTC,2023-06-26 20:19:00.000000 UTC,2023-06-28 05:48:00.000000 UTC,24.989999771118164
20,M,180s,24.989999771118164,Men,Complete,2023-01-26 09:03:21.000000 UTC,2023-01-28 09:51:00.000000 UTC,2023-01-28 18:10:00.000000 UTC,24.989999771118164
38,M,180s,19.5,Men,Returned,2023-03-21 03:14:17.000000 UTC,2023-03-23 07:23:00.000000 UTC,2023-03-26 13:38:00.000000 UTC,19.5
33,M,180s,25.0,Men,Complete,2023-05-23 22:37:52.000000 UTC,2023-05-24 09:29:00.000000 UTC,2023-05-26 12:05:00.000000 UTC,25.0
35,M,180s,25.0,Men,Complete,2023-03-18 16:05:24.000000 UTC,2023-03-17 21:49:00.000000 UTC,2023-03-20 04:13:00.000000 UTC,25.0
36,M,180s,25.0,Men,Returned,2023-06-18 11:16:24.000000 UTC,2023-06-18 15:20:00.000000 UTC,2023-06-20 23:48:00.000000 UTC,25.0
53,M,180s,17.319999694824219,Men,Returned,2023-04-06 00:21:11.000000 UTC,2023-04-08 09:20:00.000000 UTC,2023-04-12 16:37:00.000000 UTC,17.319999694824219
39,F,180s,22.399999618530277,Women,Complete,2023-03-03 11:49:36.000000 UTC,2023-03-06 13:33:00.000000 UTC,2023-03-11 12:19:00.000000 UTC,22.399999618530277
15,F,Greatlookz,12.949999809265137,Women,Complete,2023-06-03 14:34:15.000000 UTC,2023-06-05 04:57:00.000000 UTC,2023-06-07 00:12:00.000000 UTC,12.949999809265137
40,F,Body Wrappers,7.1999998092651367,Women,Returned,2023-05-16 09:21:42.000000 UTC,2023-05-18 21:20:00.000000 UTC,2023-05-22 16:10:00.000000 UTC,7.1999998092651367
62,F,Kalon,6.9899997711181641,Women,Returned,2023-06-21 15:20:43.000000 UTC,2023-06-23 09:46:00.000000 UTC,2023-06-28 07:15:00.000000 UTC,6.9899997711181641
19,M,MG,19.989999771118164,Men,Complete,2023-01-14 05:51:24.000000 UTC,2023-01-16 03:01:00.000000 UTC,2023-01-19 19:28:00.000000 UTC,19.989999771118164
27,M,Wayfarers,9.9899997711181641,Men,Complete,2023-04-23 12:46:31.000000 UTC,2023-04-26 03:10:00.000000 UTC,2023-04-29 03:11:00.000000 UTC,9.9899997711181641
40,M,Vine Branch,4.0799999237060556,Men,Complete,2023-01-09 15:01:00.000000 UTC,2023-01-11 12:00:00.000000 UTC,2023-01-12 07:27:00.000000 UTC,4.0799999237060556
69,M,Vine Branch,4.0799999237060556,Men,Complete,2023-06-07 06:12:14.000000 UTC,2023-06-09 16:31:00.000000 UTC,2023-06-11 14:58:00.000000 UTC,4.0799999237060556
