age,gender,product_brand,product_retail_price,product_department,status,created_at,shipped_at,delivered_at,sale_price,delivery_duration,created_month,delivery_duration_hours,status_numeric
39,F,Funny Girl Designs,5.989999771118164,Women,Returned,2023-05-04 04:04:00+00:00,2023-05-05 15:32:00+00:00,2023-05-06 19:54:00+00:00,5.989999771118164,1 days 04:22:00,5,28.366666666666667,0
18,F,Funny Girl Designs,10.989999771118164,Women,Complete,2023-05-23 18:12:01+00:00,2023-05-24 13:44:00+00:00,2023-05-25 13:15:00+00:00,10.989999771118164,0 days 23:31:00,5,23.516666666666666,1
34,M,Perry,16.899999618530273,Men,Complete,2023-05-04 01:54:10+00:00,2023-05-06 06:02:00+00:00,2023-05-09 04:12:00+00:00,16.899999618530273,2 days 22:10:00,5,70.16666666666667,1
28,M,Belts.com,9.989999771118164,Men,Returned,2023-06-26 03:30:30+00:00,2023-06-26 09:05:00+00:00,2023-06-29 17:41:00+00:00,9.989999771118164,3 days 08:36:00,6,80.6,0
66,M,Marshal,12.0,Men,Complete,2023-02-01 11:33:29+00:00,2023-01-29 18:40:00+00:00,2023-01-30 00:03:00+00:00,12.0,0 days 05:23:00,2,5.383333333333334,1
69,M,TheTieBar,18.989999771118164,Men,Returned,2023-01-20 04:38:45+00:00,2023-01-18 09:26:00+00:00,2023-01-19 11:39:00+00:00,18.989999771118164,1 days 02:13:00,1,26.216666666666665,0
69,M,TheTieBar,18.989999771118164,Men,Complete,2023-03-26 00:19:34+00:00,2023-03-28 17:20:00+00:00,2023-03-29 05:42:00+00:00,18.989999771118164,0 days 12:22:00,3,12.366666666666667,1
20,M,TheTieBar,17.989999771118164,Men,Complete,2023-04-23 16:09:39+00:00,2023-04-24 22:23:00+00:00,2023-04-27 18:45:00+00:00,17.989999771118164,2 days 20:22:00,4,68.36666666666666,1
39,M,TheTieBar,17.989999771118164,Men,Returned,2023-06-19 13:17:13+00:00,2023-06-16 13:37:00+00:00,2023-06-20 04:32:00+00:00,17.989999771118164,3 days 14:55:00,6,86.91666666666667,0
16,M,TheTieBar,15.989999771118164,Men,Returned,2023-03-18 04:45:45+00:00,2023-03-14 22:40:00+00:00,2023-03-15 09:58:00+00:00,15.989999771118164,0 days 11:18:00,3,11.3,0
35,M,TheTieBar,15.989999771118164,Men,Complete,2023-01-30 15:39:44+00:00,2023-02-02 03:42:00+00:00,2023-02-06 09:01:00+00:00,15.989999771118164,4 days 05:19:00,1,101.31666666666666,1
42,M,TheTieBar,15.989999771118164,Men,Returned,2023-05-18 10:57:28+00:00,2023-05-19 13:31:00+00:00,2023-05-23 15:58:00+00:00,15.989999771118164,4 days 02:27:00,5,98.45,0
17,M,TheTieBar,15.989999771118164,Men,Complete,2023-03-09 02:50:33+00:00,2023-03-11 01:25:00+00:00,2023-03-15 04:31:00+00:00,15.989999771118164,4 days 03:06:00,3,99.1,1
66,M,TheTieBar,15.989999771118164,Men,Complete,2023-06-23 06:28:13+00:00,2023-06-20 04:45:00+00:00,2023-06-20 14:01:00+00:00,15.989999771118164,0 days 09:16:00,6,9.266666666666667,1
51,M,TheTieBar,15.989999771118164,Men,Complete,2023-04-28 05:13:58+00:00,2023-04-28 19:33:00+00:00,2023-05-03 13:53:00+00:00,15.989999771118164,4 days 18:20:00,4,114.33333333333333,1
62,M,TheTieBar,17.989999771118164,Men,Returned,2023-04-15 13:39:52+00:00,2023-04-15 22:43:00+00:00,2023-04-17 20:52:00+00:00,17.989999771118164,1 days 22:09:00,4,46.15,0
57,M,TheTieBar,17.989999771118164,Men,Complete,2023-05-25 22:09:38+00:00,2023-05-28 02:57:00+00:00,2023-05-28 09:54:00+00:00,17.989999771118164,0 days 06:57:00,5,6.95,1
12,M,TheTieBar,15.989999771118164,Men,Returned,2023-06-10 22:49:20+00:00,2023-06-11 20:21:00+00:00,2023-06-12 16:46:00+00:00,15.989999771118164,0 days 20:25:00,6,20.416666666666668,0
58,M,TheTieBar,15.989999771118164,Men,Complete,2023-03-04 22:04:59+00:00,2023-03-03 21:23:00+00:00,2023-03-07 01:10:00+00:00,15.989999771118164,3 days 03:47:00,3,75.78333333333333,1
17,M,TheTieBar,18.989999771118164,Men,Complete,2023-01-04 02:30:14+00:00,2023-01-05 03:16:00+00:00,2023-01-07 02:36:00+00:00,18.989999771118164,1 days 23:20:00,1,47.333333333333336,1
22,M,TheTieBar,15.989999771118164,Men,Complete,2023-05-25 07:35:51+00:00,2023-05-24 01:32:00+00:00,2023-05-27 15:25:00+00:00,15.989999771118164,3 days 13:53:00,5,85.88333333333334,1
46,M,TheTieBar,15.989999771118164,Men,Complete,2023-04-03 14:45:32+00:00,2023-04-05 09:25:00+00:00,2023-04-08 20:40:00+00:00,15.989999771118164,3 days 11:15:00,4,83.25,1
12,M,TheTieBar,17.989999771118164,Men,Complete,2023-04-08 05:00:24+00:00,2023-04-10 22:35:00+00:00,2023-04-12 19:00:00+00:00,17.989999771118164,1 days 20:25:00,4,44.416666666666664,1
41,M,TheTieBar,17.989999771118164,Men,Complete,2023-03-12 15:40:46+00:00,2023-03-12 00:33:00+00:00,2023-03-16 04:42:00+00:00,17.989999771118164,4 days 04:09:00,3,100.15,1
12,M,TheTieBar,15.989999771118164,Men,Complete,2023-01-09 01:15:38+00:00,2023-01-10 20:48:00+00:00,2023-01-14 03:20:00+00:00,15.989999771118164,3 days 06:32:00,1,78.53333333333333,1
14,F,boxed-gifts,14.989999771118164,Women,Complete,2023-06-27 00:03:06+00:00,2023-06-27 09:27:00+00:00,2023-06-28 05:40:00+00:00,14.989999771118164,0 days 20:13:00,6,20.216666666666665,1
64,M,180s,24.989999771118164,Men,Complete,2023-06-25 00:46:43+00:00,2023-06-26 20:19:00+00:00,2023-06-28 05:48:00+00:00,24.989999771118164,1 days 09:29:00,6,33.483333333333334,1
20,M,180s,24.989999771118164,Men,Complete,2023-01-26 09:03:21+00:00,2023-01-28 09:51:00+00:00,2023-01-28 18:10:00+00:00,24.989999771118164,0 days 08:19:00,1,8.316666666666666,1
38,M,180s,19.5,Men,Returned,2023-03-21 03:14:17+00:00,2023-03-23 07:23:00+00:00,2023-03-26 13:38:00+00:00,19.5,3 days 06:15:00,3,78.25,0
33,M,180s,25.0,Men,Complete,2023-05-23 22:37:52+00:00,2023-05-24 09:29:00+00:00,2023-05-26 12:05:00+00:00,25.0,2 days 02:36:00,5,50.6,1
35,M,180s,25.0,Men,Complete,2023-03-18 16:05:24+00:00,2023-03-17 21:49:00+00:00,2023-03-20 04:13:00+00:00,25.0,2 days 06:24:00,3,54.4,1
36,M,180s,25.0,Men,Returned,2023-06-18 11:16:24+00:00,2023-06-18 15:20:00+00:00,2023-06-20 23:48:00+00:00,25.0,2 days 08:28:00,6,56.46666666666667,0
53,M,180s,17.31999969482422,Men,Returned,2023-04-06 00:21:11+00:00,2023-04-08 09:20:00+00:00,2023-04-12 16:37:00+00:00,17.31999969482422,4 days 07:17:00,4,103.28333333333333,0
39,F,180s,22.39999961853028,Women,Complete,2023-03-03 11:49:36+00:00,2023-03-06 13:33:00+00:00,2023-03-11 12:19:00+00:00,22.39999961853028,4 days 22:46:00,3,118.76666666666667,1
15,F,Greatlookz,12.949999809265137,Women,Complete,2023-06-03 14:34:15+00:00,2023-06-05 04:57:00+00:00,2023-06-07 00:12:00+00:00,12.949999809265137,1 days 19:15:00,6,43.25,1
40,F,Body Wrappers,7.199999809265137,Women,Returned,2023-05-16 09:21:42+00:00,2023-05-18 21:20:00+00:00,2023-05-22 16:10:00+00:00,7.199999809265137,3 days 18:50:00,5,90.83333333333333,0
62,F,Kalon,6.989999771118164,Women,Returned,2023-06-21 15:20:43+00:00,2023-06-23 09:46:00+00:00,2023-06-28 07:15:00+00:00,6.989999771118164,4 days 21:29:00,6,117.48333333333333,0
19,M,MG,19.989999771118164,Men,Complete,2023-01-14 05:51:24+00:00,2023-01-16 03:01:00+00:00,2023-01-19 19:28:00+00:00,19.989999771118164,3 days 16:27:00,1,88.45,1
27,M,Wayfarers,9.989999771118164,Men,Complete,2023-04-23 12:46:31+00:00,2023-04-26 03:10:00+00:00,2023-04-29 03:11:00+00:00,9.989999771118164,3 days 00:01:00,4,72.01666666666667,1
40,M,Vine Branch,4.079999923706056,Men,Complete,2023-01-09 15:01:00+00:00,2023-01-11 12:00:00+00:00,2023-01-12 07:27:00+00:00,4.079999923706056,0 days 19:27:00,1,19.45,1
69,M,Vine Branch,4.079999923706056,Men,Complete,2023-06-07 06:12:14+00:00,2023-06-09 16:31:00+00:00,2023-06-11 14:58:00+00:00,4.079999923706056,1 days 22:27:00,6,46.45,1
19,F,AN1225,9.989999771118164,Women,Complete,2023-02-05 07:58:48+00:00,2023-02-08 03:17:00+00:00,2023-02-10 20:05:00+00:00,9.989999771118164,2 days 16:48:00,2,64.8,1
66,F,AN1225,9.949999809265137,Women,Complete,2023-01-28 01:38:24+00:00,2023-01-28 16:47:00+00:00,2023-01-30 18:39:00+00:00,9.949999809265137,2 days 01:52:00,1,49.86666666666667,1
20,F,Talitnia,25.89999961853028,Women,Complete,2023-02-26 01:55:36+00:00,2023-02-27 13:54:00+00:00,2023-03-02 20:17:00+00:00,25.89999961853028,3 days 06:23:00,2,78.38333333333334,1
57,M,Baby Banz,14.340000152587892,Men,Complete,2023-05-29 16:23:52+00:00,2023-06-01 12:11:00+00:00,2023-06-02 12:43:00+00:00,14.340000152587892,1 days 00:32:00,5,24.533333333333335,1
46,M,Alki'i,9.989999771118164,Men,Complete,2023-06-26 11:58:07+00:00,2023-06-26 13:00:00+00:00,2023-06-27 21:59:00+00:00,9.989999771118164,1 days 08:59:00,6,32.983333333333334,1
55,F,ALL BLACK,9.899999618530272,Women,Complete,2023-04-23 21:43:13+00:00,2023-04-23 06:22:00+00:00,2023-04-23 22:35:00+00:00,9.899999618530272,0 days 16:13:00,4,16.216666666666665,1
35,F,Allegra K,5.869999885559082,Women,Complete,2023-05-05 13:55:09+00:00,2023-05-04 09:20:00+00:00,2023-05-07 20:50:00+00:00,5.869999885559082,3 days 11:30:00,5,83.5,1
34,F,Allegra K,6.440000057220459,Women,Returned,2023-04-17 17:20:36+00:00,2023-04-17 21:24:00+00:00,2023-04-18 00:52:00+00:00,6.440000057220459,0 days 03:28:00,4,3.466666666666667,0
26,F,Allegra K,4.679999828338623,Women,Returned,2023-05-04 06:03:08+00:00,2023-05-03 04:06:00+00:00,2023-05-07 04:34:00+00:00,4.679999828338623,4 days 00:28:00,5,96.46666666666667,0
63,F,AmeriBag,81.94999694824217,Women,Complete,2023-05-03 04:51:40+00:00,2023-05-04 01:58:00+00:00,2023-05-05 02:28:00+00:00,81.94999694824217,1 days 00:30:00,5,24.5,1
16,F,American Apparel,12.0,Women,Complete,2023-02-17 07:30:41+00:00,2023-02-20 08:04:00+00:00,2023-02-20 18:55:00+00:00,12.0,0 days 10:51:00,2,10.85,1
33,M,King Formal Wear,12.979999542236328,Men,Complete,2023-03-31 11:15:24+00:00,2023-03-29 21:40:00+00:00,2023-03-30 01:27:00+00:00,12.979999542236328,0 days 03:47:00,3,3.783333333333333,1
21,M,King Formal Wear,12.979999542236328,Men,Returned,2023-06-02 03:48:12+00:00,2023-05-30 03:49:00+00:00,2023-05-31 02:10:00+00:00,12.979999542236328,0 days 22:21:00,6,22.35,0
